Neighborhood size	Abstain rate	AKNN accuracy	Cumulative fraction	kNN accuracy
2.0			0.0	0.8598590044862209
3.0			0.0	0.8749198889126255
4.0			0.0	0.8782845545823542
5.0			0.0	0.8833048493911557
8.0			0.0	0.8834650715659047
11.0			0.0	0.8836252937406537
15.0	0.0	0.9881855309218203	0.7323221533860286	0.8821832941679129
21.0	0.0	0.9740518962075848	0.8027130954924161	0.879726554155095
29.0	0.0	0.9639105497196623	0.8287224951933347	0.8771629993591114
40.0	0.0	0.9484497571908853	0.8578295236060671	0.8743324076052126
57.0	0.0	0.9362089914945322	0.8790856654560991	0.868724631488998
79.0	0.0	0.9274651677330622	0.8931318094424269	0.8638111514633625
111.0	0.0	0.9192586909047984	0.9048814355906858	0.858577227088229
156.0	0.0	0.9118711334189331	0.9150822473830378	0.8514740440076907
218.0	0.0	0.9073419481949354	0.9216513565477462	0.8422345652638326
305.0	0.0	0.9021433086249497	0.9294488357188635	0.8340098269600513
427.0	0.0	0.8985962109107509	0.9359111301004059	0.825411236915189
598.0	0.0	0.8926572833644226	0.9448301644947661	0.8118991668446913
837.0	0.0	0.8863394705915272	0.9543366801965392	0.7981200598162785
1171.0	0.0	0.8794993908517	0.9644306772057253	0.7891476180303354
1640.0	0.0	0.8722739726027398	0.9746848963896604	0.7891476180303354
2296.0	0.0	0.8642249553015117	0.9857402264473403	0.7891476180303354
3214.0	0.0	0.858680443439888	0.9924161503952147	0.7891476180303354
4500.0	0.0	0.8563610023072383	0.9953535569322794	0.7891476180303354
