Neighborhood size	AKNN accuracy (A = 1.0)	AKNN accuracy (A = 3.0)	AKNN accuracy (A = 9.0)	Cumulative fraction (A = 1.0)	Cumulative fraction (A = 3.0)	Cumulative fraction (A = 9.0)	kNN accuracy
1.0				0.0	0.0	0.0	0.8627430036317026
2.0	0.9701739850869926			0.838015381328776	0.0	0.0	0.8598590044862209
3.0	0.9701739850869926			0.838015381328776	0.0	0.0	0.8749198889126255
4.0	0.9566708792200759			0.8874706259346293	0.0	0.0	0.8782845545823542
5.0	0.9450261780104712			0.9180730613116855	0.0	0.0	0.8833048493911557
8.0	0.9361872146118722			0.935697500534074	0.0	0.0	0.8834650715659047
11.0	0.9305979428054708			0.9449903866695151	0.0	0.0	0.8836252937406537
15.0	0.9255694219038558	0.9881855309218203		0.9543366801965392	0.7323221533860286	0.0	0.8821832941679129
21.0	0.9199023740847571	0.9740518962075848		0.9628284554582354	0.8027130954924161	0.0	0.879726554155095
29.0	0.9161012742015555	0.9639105497196623		0.9682226020081179	0.8287224951933347	0.0	0.8771629993591114
40.0	0.9120258715194036	0.9484497571908853		0.9743644520401623	0.8578295236060671	0.0	0.8743324076052126
57.0	0.909612233752048	0.9362089914945322		0.97788933988464	0.8790856654560991	0.0	0.868724631488998
79.0	0.908134909824007	0.9274651677330622		0.9801858577227088	0.8931318094424269	0.0	0.8638111514633625
111.0	0.9068123742728211	0.9192586909047984	0.9919023849140322	0.9823221533860286	0.9048814355906858	0.48146763512070073	0.858577227088229
156.0	0.9056716417910448	0.9118711334189331	0.9793667733902526	0.9840311899166845	0.9150822473830378	0.6005127109591968	0.8514740440076907
218.0	0.9046225545981683	0.9073419481949354	0.9652447383275542	0.9855265968810083	0.9216513565477462	0.6623050630207221	0.8422345652638326
305.0	0.9018146467919637	0.9021433086249497	0.9519933049300061	0.988891262550737	0.9294488357188635	0.7019867549668874	0.8340098269600513
427.0	0.8976204544233765	0.8985962109107509	0.9371274894606775	0.9942854091006196	0.9359111301004059	0.7347788933988464	0.825411236915189
598.0	0.8945030241395922	0.8926572833644226	0.9192646442052286	0.9978102969450972	0.9448301644947661	0.7640461439863278	0.8118991668446913
837.0	0.8929792690745886	0.8863394705915272	0.9068200381159814	0.999572740867336	0.9543366801965392	0.7846613971373638	0.7981200598162785
1171.0	0.8925977355265969	0.8794993908517	0.8963609704078912	1.0	0.9644306772057253	0.8013245033112583	0.7891476180303354
1640.0	0.8925977355265969	0.8722739726027398	0.8891588416836299	1.0	0.9746848963896604	0.8133411664174321	0.7891476180303354
2296.0	0.8925977355265969	0.8642249553015117	0.8829794142476785	1.0	0.9857402264473403	0.8224204229865414	0.7891476180303354
3214.0	0.8925977355265969	0.858680443439888	0.8789989680082559	1.0	0.9924161503952147	0.8280281991027558	0.7891476180303354
4500.0	0.8925977355265969	0.8563610023072383	0.8762125008029806	1.0	0.9953535569322794	0.8313928647724845	0.7891476180303354
