Neighborhood size	Abstain rate	AKNN accuracy	Cumulative fraction	kNN accuracy
2.0	0.0	0.9701739850869926	0.838015381328776	0.8598590044862209
3.0	0.0	0.9701739850869926	0.838015381328776	0.8749198889126255
4.0	0.0	0.9566708792200759	0.8874706259346293	0.8782845545823542
5.0	0.0	0.9450261780104712	0.9180730613116855	0.8833048493911557
8.0	0.0	0.9361872146118722	0.935697500534074	0.8834650715659047
11.0	0.0	0.9305979428054708	0.9449903866695151	0.8836252937406537
15.0	0.0	0.9255694219038558	0.9543366801965392	0.8821832941679129
21.0	0.0	0.9199023740847571	0.9628284554582354	0.879726554155095
29.0	0.0	0.9161012742015555	0.9682226020081179	0.8771629993591114
40.0	0.0	0.9120258715194036	0.9743644520401623	0.8743324076052126
57.0	0.0	0.909612233752048	0.97788933988464	0.868724631488998
79.0	0.0	0.908134909824007	0.9801858577227088	0.8638111514633625
111.0	0.0	0.9068123742728211	0.9823221533860286	0.858577227088229
156.0	0.0	0.9056716417910448	0.9840311899166845	0.8514740440076907
218.0	0.0	0.9046225545981683	0.9855265968810083	0.8422345652638326
305.0	0.0	0.9018146467919637	0.988891262550737	0.8340098269600513
427.0	0.0	0.8976204544233765	0.9942854091006196	0.825411236915189
598.0	0.0	0.8945030241395922	0.9978102969450972	0.8118991668446913
837.0	0.0	0.8929792690745886	0.999572740867336	0.7981200598162785
1171.0	0.0	0.8925977355265969	1.0	0.7891476180303354
1640.0	0.0	0.8925977355265969	1.0	0.7891476180303354
2296.0	0.0	0.8925977355265969	1.0	0.7891476180303354
3214.0	0.0	0.8925977355265969	1.0	0.7891476180303354
4500.0	0.0	0.8925977355265969	1.0	0.7891476180303354
